j,rho,icc,g,design
15,.75,.75601572,75.626511,7.5775204
16,.75,.77332324,75.713203,7.6666455
17,.75,.77077061,76.264565,7.6819081
18,.75,.75518501,76.930717,7.6381764
19,.75,.73427039,76.426933,7.5089121
20,.75,.73931807,75.68763,7.4978604
21,.75,.7415486,76.18119,7.5332932
22,.75,.73916805,75.308998,7.478425
23,.75,.74661773,76.804405,7.589263
24,.75,.72940773,76.262672,7.4764414
25,.75,.74432731,76.79216,7.5772142
26,.75,.74730372,76.212822,7.563519
27,.75,.7782836,75.564453,7.6832471
28,.75,.71659446,75.508377,7.375113
29,.75,.73258734,74.62188,7.4117785
30,.75,.73637885,74.794044,7.4391112
31,.75,.76090896,75.072174,7.5737824
32,.75,.71567994,76.642036,7.4253278
33,.75,.77329051,76.429428,7.7025228
34,.75,.70893413,75.227081,7.3227119
35,.75,.7496233,77.552307,7.6410336
36,.75,.76630652,75.786858,7.636076
37,.75,.75105691,77.261757,7.6339321
38,.75,.73775256,76.305588,7.5204315
39,.75,.7566216,75.762405,7.5872822
40,.75,.73788065,75.765236,7.4945192
41,.75,.74859232,76.007584,7.5597687
42,.75,.75565326,76.948387,7.641377
43,.75,.74088389,75.917984,7.5170159
44,.75,.74545777,76.270065,7.5571589
45,.75,.74780416,75.709892,7.5411119
46,.75,.73970795,76.612968,7.5452971
47,.75,.73361719,76.63327,7.515708
48,.75,.77833438,76.176849,7.7144494
49,.75,.74443948,75.010345,7.4897408
50,.75,.75986946,76.010849,7.6156716
51,.75,.74100691,76.54496,7.5484662
52,.75,.72929215,75.918869,7.4590712
53,.75,.74188298,77.696884,7.6092124
54,.75,.76283628,75.249863,7.592133
55,.75,.75900048,75.771835,7.5994644
56,.75,.74270338,76.965683,7.5775967
57,.75,.79230267,74.965088,7.7202811
58,.75,.75036275,76.048363,7.5705676
59,.75,.72233284,77.226891,7.487402
60,.75,.74309498,75.326103,7.4987569
61,.75,.76644295,76.725792,7.6837168
62,.75,.75132042,77.207611,7.6325836
63,.75,.74128097,76.398048,7.5426216
64,.75,.73613322,76.315331,7.5127969
65,.75,.79955369,75.55336,7.7852049
66,.75,.75802612,76.36557,7.6242423
67,.75,.75166559,75.841957,7.5667777
68,.75,.73847705,76.133881,7.5156269
69,.75,.78143549,75.176392,7.6788063
70,.75,.76250803,75.596771,7.6079326
71,.75,.74617732,76.647743,7.5793552
72,.75,.73085588,76.066071,7.4741206
73,.75,.75969046,75.573067,7.5929213
74,.75,.76763004,76.344521,7.6705098
75,.75,.76151335,75.568214,7.601624
76,.75,.75848222,76.370094,7.6267214
77,.75,.74062145,75.922112,7.5159116
78,.75,.73201269,75.871292,7.4703903
79,.75,.76179618,76.199356,7.6345649
